Perplexity Results for LSTM on ulysses
--------------------------------------------------------

Average Training Perplexity: 764.0636
Average Test Perplexity: 1845.8647

Test Set Perplexities:
Sentence 791: 1.6412
Sentence 792: 897.8689
Sentence 793: 8003.6409
Sentence 794: 1.0421
Sentence 795: 1.2930
Sentence 796: 9.7015
Sentence 797: 3609.4512
Sentence 798: 2.0878
Sentence 799: 1593.2468
Sentence 800: 6.6859
Sentence 801: 637.4937
Sentence 802: 9174.9434
Sentence 803: 111.6985
Sentence 804: 4726.6635
Sentence 805: 1.0051
Sentence 806: 287.5820
Sentence 807: 10.5121
Sentence 808: 9844.2128
Sentence 809: 7592.0734
Sentence 810: 3.2546
Sentence 811: 296.8621
Sentence 812: 14.1833
Sentence 813: 1746.1039
Sentence 814: 2284.7113
Sentence 815: 2418.9736
Sentence 816: 4507.9469
Sentence 817: 44.0907
Sentence 818: 3427.6719
Sentence 819: 4715.2541
Sentence 820: 13.3855
Sentence 821: 185.9563
Sentence 822: 122.5669
Sentence 823: 6797.0861
Sentence 824: 15.8566
Sentence 825: 917.1886
Sentence 826: 3400.1720
Sentence 827: 4.6472
Sentence 828: 9974.9559
Sentence 829: 21.0941
Sentence 830: 46.4105
Sentence 831: 115.2692
Sentence 832: 3433.8881
Sentence 833: 54.4496
Sentence 834: 9533.2722
Sentence 835: 7.3158
Sentence 836: 47.6691
Sentence 837: 870.8247
Sentence 838: 377.1615
Sentence 839: 6.6331
Sentence 840: 749.6868
Sentence 841: 1.0535
Sentence 842: 300.3566
Sentence 843: 1096.1862
Sentence 844: 5696.1843
Sentence 845: 76.7499
Sentence 846: 45.9279
Sentence 847: 425.6862
Sentence 848: 119.4750
Sentence 849: 8.0491
Sentence 850: 403.0769
Sentence 851: 4.5120
Sentence 852: 25.3221
Sentence 853: 99.4795
Sentence 854: 249.0318
Sentence 855: 1347.4245
Sentence 856: 463.6266
Sentence 857: 2005.1720
Sentence 858: 7423.1681
Sentence 859: 10.9263
Sentence 860: 388.4144
Sentence 861: 1.0003
Sentence 862: 1.0001
Sentence 863: 34.8265
Sentence 864: 15.2024
Sentence 865: 439.0619
Sentence 866: 4082.3082
Sentence 867: 29.3578
Sentence 868: 15.1504
Sentence 869: 79.8101
Sentence 870: 137.8995
Sentence 871: 239.5632
Sentence 872: 5.7895
Sentence 873: 53.8035
Sentence 874: 84.7706
Sentence 875: 1861.9540
Sentence 876: 4954.9506
Sentence 877: 2.8766
Sentence 878: 3.9025
Sentence 879: 366.8640
Sentence 880: 131.0851
Sentence 881: 4468.5812
Sentence 882: 3070.3321
Sentence 883: 10.5531
Sentence 884: 1898.7194
Sentence 885: 1.7174
Sentence 886: 9.9914
Sentence 887: 593.3037
Sentence 888: 1040.6625
Sentence 889: 4633.5481
Sentence 890: 9414.2922
Sentence 891: 2.3509
Sentence 892: 2.2270
Sentence 893: 1355.8262
Sentence 894: 7.3990
Sentence 895: 894.2025
Sentence 896: 68.1414
Sentence 897: 18.3666
Sentence 898: 60.8549
Sentence 899: 10.0088
Sentence 900: 28.3723
Sentence 901: 146.9304
Sentence 902: 153.0620
Sentence 903: 134.7388
Sentence 904: 381.7453
Sentence 905: 4.8662
Sentence 906: 6.4136
Sentence 907: 532.1255
Sentence 908: 54.6024
Sentence 909: 6367.2537
Sentence 910: 1.5167
Sentence 911: 440.8340
Sentence 912: 38.7463
Sentence 913: 256.0446
Sentence 914: 4839.9292
Sentence 915: 858.7799
Sentence 916: 9768.1838
Sentence 917: 8163.8701
Sentence 918: 16.3637
Sentence 919: 5893.4832
Sentence 920: 4.0225
Sentence 921: 393.2765
Sentence 922: 7673.2298
Sentence 923: 1.6538
Sentence 924: 1.0068
Sentence 925: 5805.7330
Sentence 926: 4205.3197
Sentence 927: 35.8654
Sentence 928: 6624.4844
Sentence 929: 3450.9148
Sentence 930: 201.0807
Sentence 931: 4.0776
Sentence 932: 3.3618
Sentence 933: 8807.2197
Sentence 934: 2.9005
Sentence 935: 3712.2338
Sentence 936: 125.5824
Sentence 937: 262.7900
Sentence 938: 789.6643
Sentence 939: 3399.1110
Sentence 940: 1912.7300
Sentence 941: 837.9488
Sentence 942: 9.6170
Sentence 943: 1901.0660
Sentence 944: 5.8544
Sentence 945: 7.5408
Sentence 946: 1494.3353
Sentence 947: 205.2681
Sentence 948: 72.2401
Sentence 949: 3673.1046
Sentence 950: 3.7539
Sentence 951: 1148.9987
Sentence 952: 4.4376
Sentence 953: 1045.0263
Sentence 954: 7575.0944
Sentence 955: 785.1378
Sentence 956: 360.9794
